Date 1,Time 1,RSSI,Badge,Date 2,Badge to Badge 1,6,7,8
2020-10-23,14:03:12:,189,09,2020-10-23,14:03:12,[26:218],,
2020-10-23,14:03:19:,182,26,2020-10-23,14:03:19,[9:215],,
2020-10-23,14:03:27:,188,09,2020-10-23,14:03:20,,,
2020-10-23,14:03:29:,189,09,2020-10-23,14:03:28,[26:218],,
2020-10-23,14:03:31:,181,26,2020-10-23,14:03:27,,,
2020-10-23,14:03:38:,189,09,2020-10-23,14:03:36,[26:218],,
2020-10-23,14:03:40:,182,26,2020-10-23,14:03:35,[9:216],[9:215],
2020-10-23,14:03:48:,181,26,2020-10-23,14:03:43,[9:216],,
2020-10-23,14:03:51:,188,09,2020-10-23,14:03:44,[26:218],,
2020-10-23,14:03:54:,188,09,2020-10-23,14:03:52,[26:218],,
2020-10-23,14:03:56:,182,26,2020-10-23,14:03:51,,,
2020-10-23,14:03:58:,182,26,2020-10-23,14:03:59,[9:216],[9:215],
2020-10-23,14:04:03:,189,09,2020-10-23,14:04:00,[26:218],[26:218],
2020-10-23,14:04:08:,182,26,2020-10-23,14:04:07,[9:215],,
2020-10-23,14:04:09:,189,09,2020-10-23,14:04:08,,,
2020-10-23,14:04:18:,182,26,2020-10-23,14:04:15,[9:216],,
2020-10-23,14:04:20:,189,09,2020-10-23,14:04:16,[26:218],,
2020-10-23,14:04:23:,181,26,2020-10-23,14:04:23,[9:216],,
2020-10-23,14:04:27:,189,09,2020-10-23,14:04:24,[26:218],[26:218],
2020-10-23,14:04:31:,181,26,2020-10-23,14:04:31,[9:216],,
2020-10-23,14:04:32:,189,09,2020-10-23,14:04:32,[26:218],,
2020-10-23,14:04:40:,182,26,2020-10-23,14:04:39,[9:215],,
2020-10-23,14:04:42:,189,09,2020-10-23,14:04:40,,,
2020-10-23,14:04:51:,188,09,2020-10-23,14:04:48,[26:218],,
2020-10-23,14:04:53:,181,26,2020-10-23,14:04:47,[9:215],,
2020-10-23,14:04:54:,182,26,2020-10-23,14:04:55,[9:215],,
2020-10-23,14:04:57:,189,09,2020-10-23,14:04:56,[26:218],[26:218],
2020-10-23,14:05:06:,182,26,2020-10-23,14:05:03,[9:216],,
2020-10-23,14:05:07:,189,09,2020-10-23,14:05:04,,,
2020-10-23,14:05:14:,189,09,2020-10-23,14:05:12,[26:218],,
2020-10-23,14:05:15:,182,26,2020-10-23,14:05:11,[9:216],,
2020-10-23,14:05:22:,189,09,2020-10-23,14:05:20,[26:218],,
2020-10-23,14:05:25:,182,26,2020-10-23,14:05:19,[9:216],,
2020-10-23,14:05:26:,182,26,2020-10-23,14:05:27,[9:216],,
2020-10-23,14:05:30:,189,09,2020-10-23,14:05:28,[26:218],[26:218],
2020-10-23,14:05:37:,182,26,2020-10-23,14:05:35,[9:216],,
2020-10-23,14:05:43:,189,09,2020-10-23,14:05:36,,,
2020-10-23,14:05:44:,181,26,2020-10-23,14:05:43,,,
2020-10-23,14:05:48:,188,09,2020-10-23,14:05:44,[26:218],,
2020-10-23,14:05:51:,182,26,2020-10-23,14:05:51,[9:216],[9:215],
2020-10-23,14:05:52:,189,09,2020-10-23,14:05:52,[26:218],[26:218],
2020-10-23,14:06:01:,189,09,2020-10-23,14:06:00,,,
2020-10-23,14:06:03:,182,26,2020-10-23,14:05:59,[9:215],,
2020-10-23,14:06:08:,182,26,2020-10-23,14:06:07,[9:216],,
2020-10-23,14:06:14:,189,09,2020-10-23,14:06:08,[26:218],,
2020-10-23,14:06:15:,182,26,2020-10-23,14:06:15,,,
2020-10-23,14:06:18:,189,09,2020-10-23,14:06:16,[26:218],[26:217],
2020-10-23,14:06:28:,181,26,2020-10-23,14:06:23,[9:216],[9:215],
2020-10-23,14:06:31:,189,09,2020-10-23,14:06:24,,,
2020-10-23,14:06:31:,182,26,2020-10-23,14:06:31,,,
2020-10-23,14:06:33:,189,09,2020-10-23,14:06:32,[26:218],[26:218],
2020-10-23,14:06:39:,189,09,2020-10-23,14:06:40,,,
2020-10-23,14:06:44:,181,26,2020-10-23,14:06:39,[9:216],[9:216],
2020-10-23,14:06:48:,182,26,2020-10-23,14:06:47,[9:216],,
2020-10-23,14:06:53:,189,09,2020-10-23,14:06:48,[26:218],,
2020-10-23,14:06:59:,189,09,2020-10-23,14:06:56,[26:218],,
2020-10-23,14:06:59:,182,26,2020-10-23,14:06:55,[9:216],,
2020-10-23,14:07:03:,181,26,2020-10-23,14:07:03,[9:215],,
2020-10-23,14:07:05:,189,09,2020-10-23,14:07:04,[26:218],[26:218],
2020-10-23,14:07:13:,189,09,2020-10-23,14:07:12,,,
2020-10-23,14:07:16:,182,26,2020-10-23,14:07:11,[9:216],,
2020-10-23,14:07:20:,188,09,2020-10-23,14:07:20,[26:218],,
2020-10-23,14:07:21:,182,26,2020-10-23,14:07:19,[9:216],,
